店名,網址,星級,評論,回復,地址
Meat Love橡木炭火韓國烤肉 信義店,https://www.google.com.tw/maps/place/Meat+Love%E6%A9%A1%E6%9C%A8%E7%82%AD%E7%81%AB%E9%9F%93%E5%9C%8B%E7%83%A4%E8%82%89+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abca0295f6cb:0x57e1fd44327e882e!8m2!3d25.0328911!4d121.5591635!16s%2Fg%2F11dxdms3gv?authuser=0&hl=zh-TW&rclk=1,4.1,2278,,
Texas Roadhouse 德州鮮切牛排 松高店,https://www.google.com.tw/maps/place/Texas+Roadhouse+%E5%BE%B7%E5%B7%9E%E9%AE%AE%E5%88%87%E7%89%9B%E6%8E%92+%E6%9D%BE%E9%AB%98%E5%BA%97/data=!4m6!3m5!1s0x3442abba4f6df625:0xa61c4b36aa0bf63e!8m2!3d25.0381554!4d121.5673139!16s%2Fg%2F11btmq468d?authuser=0&hl=zh-TW&rclk=1,4.2,3509,,
寒舍食譜 (台北寒舍艾美酒店),https://www.google.com.tw/maps/place/%E5%AF%92%E8%88%8D%E9%A3%9F%E8%AD%9C+(%E5%8F%B0%E5%8C%97%E5%AF%92%E8%88%8D%E8%89%BE%E7%BE%8E%E9%85%92%E5%BA%97)/data=!4m6!3m5!1s0x3442abba50d70b7b:0xfd0043d444898a1a!8m2!3d25.0382675!4d121.5681767!16s%2Fg%2F1hhj1gdg1?authuser=0&hl=zh-TW&rclk=1,4.2,567,,
Wayne’s New York 瑋恩紐約美式龍蝦牛排餐廳,https://www.google.com.tw/maps/place/Wayne%E2%80%99s+New+York+%E7%91%8B%E6%81%A9%E7%B4%90%E7%B4%84%E7%BE%8E%E5%BC%8F%E9%BE%8D%E8%9D%A6%E7%89%9B%E6%8E%92%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442ab823343b2b7:0xc043d0a63eaeb78d!8m2!3d25.0301507!4d121.5580054!16s%2Fg%2F11fkmgvj72?authuser=0&hl=zh-TW&rclk=1,4.6,619,,
紫艷中餐廳,https://www.google.com.tw/maps/place/%E7%B4%AB%E8%89%B7%E4%B8%AD%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abb95768ddc1:0x6c04dce1f6e98cda!8m2!3d25.040598!4d121.565735!16s%2Fg%2F1tt1qd5w?authuser=0&hl=zh-TW&rclk=1,4.3,1225,,
鼎泰豐 101店,https://www.google.com.tw/maps/place/%E9%BC%8E%E6%B3%B0%E8%B1%90+101%E5%BA%97/data=!4m6!3m5!1s0x3442abb6e8257741:0x51d2055f43274319!8m2!3d25.03346!4d121.5644841!16s%2Fg%2F11gzdz57n?authuser=0&hl=zh-TW&rclk=1,4.5,9129,,
Musée Kitchen & Bar,https://www.google.com.tw/maps/place/Mus%C3%A9e+Kitchen+%26+Bar/data=!4m6!3m5!1s0x3442abb5928649df:0xbd03399d4e96e2e0!8m2!3d25.0310789!4d121.560587!16s%2Fg%2F11b6yxlmzj?authuser=0&hl=zh-TW&rclk=1,4.1,789,,
心潮飯店 Sinchao Rice Shoppe,https://www.google.com.tw/maps/place/%E5%BF%83%E6%BD%AE%E9%A3%AF%E5%BA%97+Sinchao+Rice+Shoppe/data=!4m6!3m5!1s0x3442abce7987eb23:0xd66dd276f16c59a2!8m2!3d25.0405778!4d121.5671!16s%2Fg%2F11fqz4vll0?authuser=0&hl=zh-TW&rclk=1,4.1,1161,,
The Ukai Taipei,https://www.google.com.tw/maps/place/The+Ukai+Taipei/data=!4m6!3m5!1s0x3442ab79b6c82e55:0x22d3924c3b87d9a8!8m2!3d25.0342406!4d121.5671232!16s%2Fg%2F11h045cw9g?authuser=0&hl=zh-TW&rclk=1,4.4,701,,
橘色涮涮屋A9館,https://www.google.com.tw/maps/place/%E6%A9%98%E8%89%B2%E6%B6%AE%E6%B6%AE%E5%B1%8BA9%E9%A4%A8/data=!4m6!3m5!1s0x3442ab29dd20982f:0xd224611b23f03b98!8m2!3d25.0363392!4d121.5667018!16s%2Fg%2F11gmfxr2zs?authuser=0&hl=zh-TW&rclk=1,4.4,1155,,
